lantas kok tidak ada menu pinjaman daring nya	4,5 UI_UX_DESIGN 0 -1,-1	5,6 FEATURES_PRODUCT 0 -1,-1
bagaimana mau daftar dan minjem	2,3 ONBOARDING_KYC 0 -1,-1
belum daftar saja harus untuk kode keamanan di hp	6,7 SECURITY_FRAUD 0 -1,-1
mana gagal terus tidak bisa untuk isi data dan mnjm ney	-1,-1 APP_PERFORMANCE 1 3,5
sudah memasuki otp berkali2 masih saja kgk bisa login	2,3 AUTH_ACCESS 0 -1,-1	8,9 AUTH_ACCESS 0 -1,-1
sulit masuknya otp berkali kali	2,3 AUTH_ACCESS 0 0,1
saya tidak bisa login atau pengajuan	1,4 AUTH_ACCESS 0 1,3	5,6 ONBOARDING_KYC 0 -1,-1
resiko bunga tinggi tidak di jamin lps	1,2 INTEREST_RETURNS 2 1,3	6,7 SECURITY_FRAUD 2 -1,-1
ini kenapa gangguan terus ya	2,3 APP_PERFORMANCE 0 -1,-1
pendapatan dari grab merchant jadi nya tidak masuk ' dari kemarin	6,8 TRANSACTION_TRANSFER 0 6,8
tolong dong admin kalau begini terus uang nya tidak muter untuk modal	2,3 CUSTOMER_SERVICE 0 -1,-1
setiap mau pengajuan pinjam selalu ditolak kenapa ya	2,3 ONBOARDING_KYC 0 -1,-1
ditingkatkan lagi ke whatsapp pervikasi	3,4 CUSTOMER_SERVICE 0 -1,-1
aku daftar tidak bisa katanya data tidak sesuai	1,2 ONBOARDING_KYC 0 2,4
data yang aku masukan sesuai ktp asli ku	5,6 ONBOARDING_KYC 0 -1,-1
bunga mencekik	0,1 INTEREST_RETURNS 0 -1,-1
parah banget	-1,-1 FEATURES_PRODUCT 0 0,1
jaringan bagus sudah berapa kali memasuki pin dan nge stak di sana saja tidak ada perintah selanjut nya untuk menyelesaikan pendaftaran	6,7 AUTH_ACCESS 0 1,2	20,21 ONBOARDING_KYC 0 -1,-1
tidak sesuai iklan	2,3 PROMO_MARKETING 0 0,2
tidak ada platfom muncul pinjaman	4,5 FEATURES_PRODUCT 0 -1,-1
lambat	-1,-1 APP_PERFORMANCE 0 0,1
jaringan bagus	-1,-1 FEATURES_PRODUCT 2 1,2
kok sudah 2 hari ini mau login di perangkat lain	6,7 AUTH_ACCESS 0 -1,-1	8,9 AUTH_ACCESS 0 -1,-1
verifikasi wajah tidak bisa keluar ya	0,2 ONBOARDING_KYC 0 2,4
pas di unduh lagi kata nya android ku eror	-1,-1 APP_PERFORMANCE 0 8,9
itu bagaimana solusi nya admin terima kasih	4,5 CUSTOMER_SERVICE 2 2,3
mau login verifikasi wajah tidak bisa hanya muter2 doang	1,2 AUTH_ACCESS 0 -1,-1	2,4 ONBOARDING_KYC 0 4,6
proses selfie nya susah	1,2 ONBOARDING_KYC 0 3,4
lama	-1,-1 FEATURES_PRODUCT 0 0,1
sudah selesai unduh terus suruh masukan pin pas pin ke 2x gagal terus	6,7 AUTH_ACCESS 0 11,12
aku tambah bintangnya berkala jika pelayanan bertambah baik lagi	5,6 CUSTOMER_SERVICE 0 -1,-1
kendala saat ini cara transfer yang berbelit	4,5 TRANSACTION_TRANSFER 0 0,1
tidak mudah kirim uang ke e wallet lain	2,4 TRANSACTION_TRANSFER 0 1,2
menu celengan yang sulit debet manual	0,1 UI_UX_DESIGN 0 -1,-1	1,2 FEATURES_PRODUCT 0 3,4
pelayanan customer service daring yang tidak atas	1,3 CUSTOMER_SERVICE 0 -1,-1
karena kurang memuaskan	-1,-1 FEATURES_PRODUCT 0 2,3
tidak ada fitur pas nya	2,3 FEATURES_PRODUCT 0 -1,-1
kalau memuaskan nanti baru di tambah lagi bintang nya 5	-1,-1 FEATURES_PRODUCT 2 1,2
dan juga untuk verifikasi muka nya sulit tidak bisa bisa	3,4 ONBOARDING_KYC 0 7,9
tidak perlu dibikin rumit lebih baik kalau ponsel nya bagus kamera depan nya kalau buruk mana bisa	-1,-1 UI_UX_DESIGN 2 14,15
aku mau menarik uang aku jadi tidak bisa	-1,-1 UI_UX_DESIGN 0 6,8
sangat besar bunga nya	2,3 INTEREST_RETURNS 1 1,2
bunga untuk pinjaman sangat besar	2,3 FEATURES_PRODUCT 1 4,5
10 persen harian bila dihitung ke satu bulan dapat bunga 3 persen jadi bila di hitung setahun dapat nya 36 persen	1,2 INTEREST_RETURNS 0 -1,-1	9,10 INTEREST_RETURNS 0 -1,-1
kalau melihat hasil cek simulasi pinjaman ' menurut ku	5,6 FEATURES_PRODUCT 0 -1,-1
aplikasi buruk sangat ini woy	-1,-1 FEATURES_PRODUCT 0 1,2
mau login gagal terus	1,2 AUTH_ACCESS 0 2,3
gangguan terus	0,1 APP_PERFORMANCE 0 -1,-1
dahtu pula tiap mau buka aplikasi nya mesti verifikasi wajah melulu sudah	8,10 ONBOARDING_KYC 0 -1,-1
mau login saja ribet	1,2 AUTH_ACCESS 0 3,4
verifikasi wajah tidak pernah berhasil	0,2 ONBOARDING_KYC 0 2,4
kenapa superbank tidak bisa di buka apa terjadi masalah error	-1,-1 APP_PERFORMANCE 0 2,4
sudah punya akun mau login kok tetap di suruh daftar dari awal lagi	4,5 AUTH_ACCESS 0 -1,-1
sudah isi daftar lagi tetap tidak bisa login suruh daftar lagi besok begitu juga seterusnya	2,3 ONBOARDING_KYC 0 -1,-1	5,8 AUTH_ACCESS 0 5,7
login selfi nya masalah	0,1 AUTH_ACCESS 0 -1,-1
mentok di loading selfi	2,3 APP_PERFORMANCE 0 -1,-1
pemeliharaan nya yang profesional bagus dong	0,1 APP_PERFORMANCE 2 4,5
kalah sama model ewalet	-1,-1 FEATURES_PRODUCT 0 0,1
saya tidak bisa login	1,4 AUTH_ACCESS 0 1,3
selalu keluar sendiri	1,3 APP_PERFORMANCE 0 1,3
kenapa fitur pas aku sudah kebuka	1,2 FEATURES_PRODUCT 0 -1,-1
dan mengajukan pendaftaran belum diproses atau ada kabar sudah 6hari tolong dong bantu jawaban nya	2,3 ONBOARDING_KYC 0 -1,-1
mau verifikasi wajah saja sulit banget tidak bisa bisa	1,3 ONBOARDING_KYC 0 6,8
hp ku ganti baru ini untuk masuk kok lama sangat ya	-1,-1 FEATURES_PRODUCT 0 8,9
di suruh selfie	2,3 ONBOARDING_KYC 0 -1,-1
tidak bisa2 tidak bisa tekan tombol kamera buruk nge lag sangat tidak bisa login	5,6 UI_UX_DESIGN 0 11,13	9,10 APP_PERFORMANCE 0 -1,-1	11,14 AUTH_ACCESS 0 2,4
iklan atau tawarn pinjaman pas sering masuk	0,1 PROMO_MARKETING 0 -1,-1	3,4 FEATURES_PRODUCT 0 -1,-1
ternyt tidak bisa alias gagal orang lagi gangguan	7,8 APP_PERFORMANCE 0 1,3
tp kenapa sampai sekarang limit pas aku tidak naik2	4,5 ACCOUNT_MANAGEMENT 0 -1,-1
data lengkap	-1,-1 FEATURES_PRODUCT 2 1,2
aku tidak mendapatkan pinjaman atur sendiri	3,4 FEATURES_PRODUCT 0 -1,-1
bagus mantap	-1,-1 FEATURES_PRODUCT 2 1,2
verifikasi sudah terang apa	0,1 ONBOARDING_KYC 0 -1,-1
aplikasi buruk	-1,-1 FEATURES_PRODUCT 0 1,2
kalau ada yang tidak lengkap kenapa dilanjutkan pendaftaran	7,8 ONBOARDING_KYC 0 3,5
gagal mulu	-1,-1 APP_PERFORMANCE 0 0,1
kenapa sulit sekali untuk verifikasi wajah	4,6 ONBOARDING_KYC 0 1,2
awal - awal langsung ke pengaturan ponsel meminta layar kunci ponsel	5,6 ACCOUNT_MANAGEMENT 0 -1,-1
aplikasi itu sendiri bisa di atur mandiri pakai kata password	9,10 AUTH_ACCESS 0 -1,-1
aku mencoba untuk mendaftar sebagai nasabah sangat bank	3,4 ONBOARDING_KYC 0 -1,-1
aku terkendala dengan pendaftaran disaat akhir tabungan hari depan selvi	3,4 ONBOARDING_KYC 0 1,2	6,7 FEATURES_PRODUCT 0 -1,-1
mohon bantuan arahan dari admin	1,2 CUSTOMER_SERVICE 0 -1,-1	4,5 CUSTOMER_SERVICE 0 -1,-1
tidak bisa di akses	-1,-1 FEATURES_PRODUCT 0 0,2
punya saldo	1,2 NOTIFICATION_INFO 0 -1,-1
tp terkendala selfie	2,3 ONBOARDING_KYC 0 1,2
terlalu rumit mau aktifin harus pakai kuci ponsel pola sidik jari dan sejenisnya tidak seperti aplikasi bank lain yang cukup pakai pin	9,11 AUTH_ACCESS 0 -1,-1	21,22 AUTH_ACCESS 0 -1,-1
dan justru beresiko semua akun jadi terblokir karena salah pola saat anak salah pencet	6,7 AUTH_ACCESS 0 6,7
buruk ini limite belum nongol2	-1,-1 FEATURES_PRODUCT 0 0,1
sangat sulit untuk verifikasi wajah	3,5 ONBOARDING_KYC 0 1,2
aplikasi ribet	-1,-1 UI_UX_DESIGN 0 1,2
tidak bisa masuk	-1,-1 FEATURES_PRODUCT 0 0,2
pas pembaruan ini bahkan tidak bisa masuk juga	1,2 APP_PERFORMANCE 0 4,6
langsung aku transfer semua saldo aku ke bank lain yang tidak ribet	2,3 TRANSACTION_TRANSFER 2 -1,-1	4,5 NOTIFICATION_INFO 2 -1,-1
bahkan jadi tidak bisa masuk ke aplikasi nyh	-1,-1 FEATURES_PRODUCT 0 2,4
setelah verifikasi wajah kembali ke awal lagi	1,3 ONBOARDING_KYC 0 -1,-1
gagal logistik ini	-1,-1 APP_PERFORMANCE 0 0,1
cara daftar nya mudah	1,2 ONBOARDING_KYC 2 3,4
harus menunggu 7 hari baru bisa mengajukan pinjaman	7,8 FEATURES_PRODUCT 0 -1,-1
setelah diupdate disuruh verifikasi lagi	3,4 ONBOARDING_KYC 0 -1,-1
masih tidak bisa juga	-1,-1 FEATURES_PRODUCT 0 1,3
kok harus mengulangi pendaftaran	3,4 ONBOARDING_KYC 0 -1,-1
transaksi grab merchan sudah masuk kesini	0,1 TRANSACTION_TRANSFER 0 -1,-1
yang komen bagus semua	-1,-1 FEATURES_PRODUCT 2 2,3
masalah likuiditas yang langsung cancel deposito tidak bisa langsung cair	5,6 INTEREST_RETURNS 0 6,8
belum ada fasilitas top up e - wallet	2,3 FEATURES_PRODUCT 0 -1,-1	3,5 TRANSACTION_TRANSFER 0 3,4	5,8 TRANSACTION_TRANSFER 0 -1,-1
belum ada debit - card untuk tarik tunai	6,8 TRANSACTION_TRANSFER 0 -1,-1
dari segi pelayanan sudah bagus karena ada chat instan	2,3 CUSTOMER_SERVICE 2 4,5
mau aku hapus tolong data diri aku jangan digunakan untuk hal - hal yang merugikan aku terima kasih	4,6 ONBOARDING_KYC 0 -1,-1
verifikasi selfie gagal terus	0,1 ONBOARDING_KYC 0 -1,-1	1,2 ONBOARDING_KYC 0 2,3
akhir tidak berguna juga aplikasinya	-1,-1 FEATURES_PRODUCT 0 1,3
sudah sekian kali mendaftar aku ke sulitan mendapatkan otp	3,4 ONBOARDING_KYC 0 -1,-1	8,9 AUTH_ACCESS 0 -1,-1
kenapa aku tidak bisa selvi untuk perivikasi	-1,-1 FEATURES_PRODUCT 0 2,4
semenjak pembaruan bahkan tidak bisa akseskatanya ada aplikasi beresiko	1,2 APP_PERFORMANCE 0 3,5
aman aman saja	-1,-1 SECURITY_FRAUD 2 0,1
tolong diperbaiki min	-1,-1 FEATURES_PRODUCT 0 0,2
bagaimana sih aku dah jelas - jelas masukan otp yang benar kok masih di salah kan terus sampai menunggu 3 jam lagi tolong dong di perbaiki	8,9 AUTH_ACCESS 2 4,5
bunga pinjaman superbang	0,1 INTEREST_RETURNS 0 -1,-1	1,2 FEATURES_PRODUCT 0 -1,-1
sangat tinggi	-1,-1 FEATURES_PRODUCT 1 1,2
buruk tidak ada pinjaman	3,4 FEATURES_PRODUCT 0 0,1
saran agar di permudah toup pakai firtuar dana atau yang lainya biar kita enggak jauh mencari atm trimakasih	16,17 TRANSACTION_TRANSFER 0 -1,-1
mau masuk akun tidak bisa kirim ke whatsapp atau gmail	7,8 CUSTOMER_SERVICE 0 3,5
rumit	-1,-1 UI_UX_DESIGN 0 0,1
tidak jelas	-1,-1 FEATURES_PRODUCT 0 0,2
gagal melulu tiap mau daftar	4,5 ONBOARDING_KYC 0 0,1
mengesalkan sangat pakai qris superbank kok tidak bisa2	3,4 TRANSACTION_TRANSFER 0 -1,-1
saldo sudah terpotong	0,1 NOTIFICATION_INFO 0 2,3
kena pas ku tidak muncul	-1,-1 FEATURES_PRODUCT 0 3,5
kok menyusahkan deh	-1,-1 FEATURES_PRODUCT 0 1,2
dan knapa harus pake2 kode pin layar	5,6 AUTH_ACCESS 0 -1,-1
setiap mau ngajukan sela kamu gagal foto ktp sudah jelas di bilsng bur sulit masuk	6,8 ONBOARDING_KYC 0 5,6
aku transfer ke rekening superbank masuknnya ke ovo anehh	1,2 TRANSACTION_TRANSFER 0 -1,-1	7,8 TRANSACTION_TRANSFER 0 -1,-1
program pas sangat menarik untuk aku	-1,-1 UI_UX_DESIGN 2 3,4
kenapa belum pengajuan sudah di tolak dan data belum memenuhi syarat	2,3 ONBOARDING_KYC 0 -1,-1
harusnya bisa untuk saya ajukan pinjaman	5,6 FEATURES_PRODUCT 0 -1,-1
tambahkan fitur kartu debit fisik	1,2 FEATURES_PRODUCT 0 -1,-1	2,4 FEATURES_PRODUCT 0 -1,-1
untuk transaksi luring dan online	1,2 TRANSACTION_TRANSFER 0 -1,-1
ini bagaimana cara nya mengajukan pinjaman pas nya	5,6 FEATURES_PRODUCT 0 -1,-1
rekening tabungan sudah terbuka	1,2 FEATURES_PRODUCT 0 -1,-1
tidak ada menu pinjaman pas nya	2,3 UI_UX_DESIGN 0 -1,-1
fitur bagus atas dompet digital tidak ada terutama ke ovo kan ada kerjasama biar bisa free	0,1 FEATURES_PRODUCT 2 1,2	3,5 TRANSACTION_TRANSFER 2 -1,-1	9,10 TRANSACTION_TRANSFER 2 -1,-1
sulit sangat registrasinya sudah 2 hari selalu gagal	-1,-1 APP_PERFORMANCE 0 7,8
uang celengan yang dipecahin belum di transfer	1,2 FEATURES_PRODUCT 0 -1,-1	6,7 TRANSACTION_TRANSFER 0 -1,-1
sudah ada di mutasi	3,4 NOTIFICATION_INFO 0 -1,-1
di notifikasi gaada	1,2 NOTIFICATION_INFO 0 -1,-1
transfer gagal	0,1 TRANSACTION_TRANSFER 0 1,2
ini aplikasi kenapa tidak bisa di buka woy	-1,-1 FEATURES_PRODUCT 0 3,5
tidak bisa buka pusat bantuan	4,5 CUSTOMER_SERVICE 0 0,2
tidak sesuai iklan dan promosinya	2,3 PROMO_MARKETING 0 0,2
tidak ada lagi pinjaman atur sendiri	3,4 FEATURES_PRODUCT 0 -1,-1
aku mengajukan pendaftaran superbank 2 kali	2,3 ONBOARDING_KYC 0 -1,-1
tidak bisa masuk	-1,-1 FEATURES_PRODUCT 0 0,2
setiap ingin login pasti tertera data kamu tidak sesuai	2,3 AUTH_ACCESS 0 7,9
tidak bisa transfer ke ewalet	2,3 TRANSACTION_TRANSFER 0 0,2
kenapa transfer tidak masuk	1,2 TRANSACTION_TRANSFER 0 -1,-1
sudah begitu mau masuk sudah mengisi otp tetap tidak masuk	8,10 TRANSACTION_TRANSFER 0 8,10	6,7 AUTH_ACCESS 0 -1,-1
sedang dalam gangguan kaya begitu saja terus tiap mau di buka	2,3 APP_PERFORMANCE 0 -1,-1
kenapa adminnya mahal sekali	-1,-1 FEES_CHARGES 0 2,3
qris tidak jalan di poco x6pro	0,1 TRANSACTION_TRANSFER 0 1,3
sudah pakai versi 1	2,3 APP_PERFORMANCE 0 -1,-1
tolong diperbaiki	-1,-1 FEATURES_PRODUCT 0 0,2
masih kurang responsif	-1,-1 FEATURES_PRODUCT 0 2,3
belum jatuh tempo limit di aplikasi terauto debit sendiri	3,4 ACCOUNT_MANAGEMENT 0 -1,-1
bayar tepat waktu	-1,-1 FEATURES_PRODUCT 2 1,2
sekarang menunggu verifikasi	2,3 ONBOARDING_KYC 1 -1,-1
sumpah dek potongan nya tidak ngakal sudah di kenakan bunga tinggi di potong lagi dengan nominal tinggi	2,3 FEES_CHARGES 2 -1,-1	9,10 INTEREST_RETURNS 2 9,11
sering pas mau memasuki pin eror	4,5 AUTH_ACCESS 0 5,6
harus daftar lagi	1,2 ONBOARDING_KYC 1 -1,-1
tjatuh tempo tanggal 14 tanggal 5 telpon tidak berhenti aduh rumit	-1,-1 UI_UX_DESIGN 0 10,11
kenapa tiba - tiba superbank saya tidak bisa login atau tolak katanya suruh ulang daftar	6,9 AUTH_ACCESS 0 6,8	14,15 ONBOARDING_KYC 0 -1,-1
untuk logistik ini lama sangat tolong di perbaiki	-1,-1 FEATURES_PRODUCT 0 7,8
aku butuh pin baru	2,3 AUTH_ACCESS 1 -1,-1
kenapa setiap lupa pin harus hubungi 150033	2,4 AUTH_ACCESS 1 -1,-1
setelah aku hubungi tetap tidak dapat pin baru	6,7 AUTH_ACCESS 0 4,6
mohon minimal pinjaman mulai dari 100	2,3 FEATURES_PRODUCT 1 -1,-1
fingerprint gangguan untuk masuk	0,1 AUTH_ACCESS 1 -1,-1	1,2 APP_PERFORMANCE 1 -1,-1
syarat referal sulit jadi malas mau ajak temen	-1,-1 FEATURES_PRODUCT 0 2,3
bonus kartu untung tidak niat alias pelit	0,1 INTEREST_RETURNS 1 -1,-1
tidak lengkap	-1,-1 FEATURES_PRODUCT 0 0,2
mohon dilengkapi fitur pembayaran tarik setor	2,3 FEATURES_PRODUCT 1 -1,-1	3,4 TRANSACTION_TRANSFER 1 -1,-1
krn pengajuan selalu janji2 terus	1,2 ONBOARDING_KYC 1 -1,-1
tambahkan fitur qris merchant untuk pembayaran di kasir	1,2 FEATURES_PRODUCT 1 -1,-1	2,3 TRANSACTION_TRANSFER 1 -1,-1	5,6 TRANSACTION_TRANSFER 1 -1,-1
tolong dong untuk pinjaman nya jangan adakan admin	3,4 FEATURES_PRODUCT 1 -1,-1	7,8 CUSTOMER_SERVICE 1 -1,-1
aku kesusahan masuk akun aku sendiri pas di mode wajah id gagal terus tolong pencerahan aku telepon administrasi care nya dan email balasanya lama	9,10 AUTH_ACCESS 0 11,12	16,17 CUSTOMER_SERVICE 0 -1,-1	17,18 FEES_CHARGES 0 23,24
aktifkan akun ovo sangat nabung	2,3 TRANSACTION_TRANSFER 1 -1,-1
menu belum sepenuhnya ada seperti pembayaran token listrik	0,1 UI_UX_DESIGN 1 -1,-1	5,6 TRANSACTION_TRANSFER 1 -1,-1	7,8 TRANSACTION_TRANSFER 1 -1,-1
pdam	0,1 TRANSACTION_TRANSFER 1 -1,-1
menu pinjaman juga di berlakukan tanggal yang sama	1,2 FEATURES_PRODUCT 1 -1,-1
pengajuan di tanggal yang berbeda	0,1 ONBOARDING_KYC 1 -1,-1
enggak ada rekening koran untuk pencairan grab merchant	2,4 NOTIFICATION_INFO 1 -1,-1	5,6 TRANSACTION_TRANSFER 1 -1,-1
pengajuan selalu di tolak	0,1 ONBOARDING_KYC 1 -1,-1
menurut aku superbank sangat tidak membantu	-1,-1 FEATURES_PRODUCT 0 5,6
jika tidak siap meminjam kan uang tidak perlu menawarkan pinjaman	9,10 FEATURES_PRODUCT 1 -1,-1
suku bunga terlalu besar kecewa	0,2 INTEREST_RETURNS 0 4,5
kok tidak bisa qris ke alfamart sama indomaret	3,4 TRANSACTION_TRANSFER 0 1,3
ini aplikasi legal apa ilegal	2,3 SECURITY_FRAUD 1 -1,-1	4,5 SECURITY_FRAUD 1 -1,-1
knapa tidak bisa masuk lagi	-1,-1 FEATURES_PRODUCT 0 1,3
tenor terlalu pendek	0,1 INTEREST_RETURNS 1 -1,-1
suku bunga terlalu tinggi	0,2 INTEREST_RETURNS 2 3,4
suka sangat suka tuhan pekerjaan proses cepat sekali smoth sangat tanpa lambat	-1,-1 APP_PERFORMANCE 2 11,12
tolong tambahkan fitur bayar qris indomart atau alfamart juga tambahkan fitur bayar virtual account seperti bayar nanti dan sejenisnya	2,3 FEATURES_PRODUCT 1 -1,-1	4,5 TRANSACTION_TRANSFER 1 -1,-1	12,14 TRANSACTION_TRANSFER 1 -1,-1	15,17 FEATURES_PRODUCT 1 -1,-1
tolong iya tidak perlu ngatur - ngatur nasabah untuk bikin keamanan pada layar hapenya	10,11 SECURITY_FRAUD 1 -1,-1
aku tidak suka ada kunci pada device saya	-1,-1 FEATURES_PRODUCT 0 2,3
tidak suka masa karena tidak ada keamanan pada layar hp	6,7 SECURITY_FRAUD 0 1,2
kan namanya juga pas pinjaman atur sendiri	4,5 FEATURES_PRODUCT 1 -1,-1
harusnya pas juga pembayaran atur sendiri	3,4 TRANSACTION_TRANSFER 1 -1,-1
pin sudah benar nomor telepon seluler juga sudah benar	0,1 AUTH_ACCESS 1 -1,-1	4,5 CUSTOMER_SERVICE 1 -1,-1
tidak bisa login	0,3 AUTH_ACCESS 0 0,2
mau hubungan celler juga tidak bisa	-1,-1 FEATURES_PRODUCT 0 4,6
kok tidak ada riwayat potongannya sih	3,4 NOTIFICATION_INFO 1 -1,-1
saldo saya selalu berkurang	0,1 NOTIFICATION_INFO 0 3,4
sangat baik bisa pakai ovo	4,5 TRANSACTION_TRANSFER 1 -1,-1
masalah pendaftaran tahap foto ktp	1,2 ONBOARDING_KYC 1 -1,-1	3,5 ONBOARDING_KYC 1 -1,-1
sangat rumit	-1,-1 UI_UX_DESIGN 0 1,2
aku tidak bisa login tolong dong di bantu	1,4 AUTH_ACCESS 0 1,3
keamanan data dan cepat dalam transaksi serta kemudahan berinvestasi	0,1 SECURITY_FRAUD 2 -1,-1	5,6 TRANSACTION_TRANSFER 2 3,4
sering sulit masuk	-1,-1 FEATURES_PRODUCT 0 1,2
pendaftaran aku tidak pernah berhasil	0,1 ONBOARDING_KYC 0 2,4
bunga terlalu tinggi dan customer layan rumit belum waktunya bayar di telepon terus ganggu aktivitas	0,1 INTEREST_RETURNS 2 2,3	11,12 CUSTOMER_SERVICE 0 6,7
tidak jelas step akhir nya gagal terus	-1,-1 APP_PERFORMANCE 0 5,6
aku kok transfer melalui superbank dari semalam tidak masuk saldo nya ke bank aku ya	2,3 TRANSACTION_TRANSFER 0 -1,-1	7,9 TRANSACTION_TRANSFER 0 7,9	9,10 NOTIFICATION_INFO 0 -1,-1
aku coba menghubungi pusat bantuan gangguan melulu dari semalem mohon di bantu admin	4,5 CUSTOMER_SERVICE 1 -1,-1	5,6 APP_PERFORMANCE 1 -1,-1	12,13 CUSTOMER_SERVICE 1 -1,-1
admin di tambahkan lagi untuk pembuatan kartu fisik	0,1 CUSTOMER_SERVICE 1 -1,-1	6,8 FEATURES_PRODUCT 1 -1,-1
telepon supercare tiba tiba di putus telp ' y anehh	0,1 CUSTOMER_SERVICE 1 -1,-1
mau login saja sulit bgt	1,2 AUTH_ACCESS 0 3,4
rumit	-1,-1 UI_UX_DESIGN 0 0,1
loading melulu	0,1 APP_PERFORMANCE 1 -1,-1
2 minggu ini kenapa setiap login dan transaksi selalu kamu loading lama ya	5,6 AUTH_ACCESS 0 -1,-1	7,8 TRANSACTION_TRANSFER 0 -1,-1	10,11 APP_PERFORMANCE 0 10,12
sudah ganti wifi dan paket data juga sama saja bahkan sampai gagan login	4,6 TRANSACTION_TRANSFER 1 -1,-1	12,13 AUTH_ACCESS 1 -1,-1
kenapa ya sekarang lambat sangat masuk nya	-1,-1 APP_PERFORMANCE 0 3,4
sulit loading terus jadi kesal	1,2 APP_PERFORMANCE 0 1,3
lama betul sudah loadingnyaa	-1,-1 FEATURES_PRODUCT 0 0,1
kendala login ke aplikasi superbank	1,2 AUTH_ACCESS 0 0,1
harus hubungi layanan	2,3 FEATURES_PRODUCT 1 -1,-1
lambat respond email - nya	-1,-1 APP_PERFORMANCE 0 0,1
jadi terkendala aktifitas keuangannya	-1,-1 FEATURES_PRODUCT 0 1,2
belum bisa trx	-1,-1 FEATURES_PRODUCT 0 0,2
serta beli pulsa paket data	2,3 TRANSACTION_TRANSFER 1 -1,-1	3,5 TRANSACTION_TRANSFER 1 -1,-1
aku menggunakan transaksi qris untuk pembayaran	2,3 TRANSACTION_TRANSFER 1 -1,-1	3,4 TRANSACTION_TRANSFER 1 -1,-1	5,6 TRANSACTION_TRANSFER 1 -1,-1
saldo terpotong	0,1 NOTIFICATION_INFO 0 1,2
tidak ada keterangan di notifikasi transaksi pembayaran	4,6 NOTIFICATION_INFO 1 -1,-1
sudah email pusat bantuan tidak responsif	3,4 CUSTOMER_SERVICE 0 4,6
pusban chat juga loading terus	3,4 APP_PERFORMANCE 0 3,5
maaf untuk superbank saya transfer sudah berhasil dan terpotong	4,5 TRANSACTION_TRANSFER 1 8,9
di baca nya tidak masuk ya	3,5 TRANSACTION_TRANSFER 0 3,5
aku transfer ke bank lain	1,2 TRANSACTION_TRANSFER 1 -1,-1
di invoice sudah berhasil	-1,-1 FEATURES_PRODUCT 2 3,4
dari pagi sampai malam belum juga masuk ke saldo rekening penerima mau menghubungi pusat bantuan selalu gangguan	8,9 NOTIFICATION_INFO 1 -1,-1	14,15 CUSTOMER_SERVICE 1 -1,-1	16,17 APP_PERFORMANCE 1 -1,-1
tiba - tiba rekening superbank aku di blokir sepihak oleh pihak aplikasi	7,8 AUTH_ACCESS 1 -1,-1
tanpa ada pemberitahuan atau peringatan terlebih dahulu	2,3 NOTIFICATION_INFO 1 -1,-1
masih ada saldo	2,3 NOTIFICATION_INFO 1 -1,-1
menghubungi customer service via telfon	1,3 CUSTOMER_SERVICE 1 -1,-1
dan jawaban dari semua customer service tetap menunggu maksimal 7 hari kerja atau lebih cepat	4,6 CUSTOMER_SERVICE 2 -1,-1
semoga segera di tangani dan lebih baik pelayanan kepada nasabah	7,8 CUSTOMER_SERVICE 1 -1,-1
kakak tolong fitur nya di tambah	2,3 FEATURES_PRODUCT 1 -1,-1
karena mereka yang scan barcode	4,5 TRANSACTION_TRANSFER 1 -1,-1
cicilan cuma 100 ribuan	0,1 FEATURES_PRODUCT 1 -1,-1
aku mitra grab driver kecewa dengan penolakan pengajuan pinjaman seharusnya mitra dipermudah bukan dipersulit	7,8 ONBOARDING_KYC 0 4,5	8,9 FEATURES_PRODUCT 2 13,14
sulit mengajukannya tidak pernah setujui	-1,-1 FEATURES_PRODUCT 0 0,1
gagal terus dan coba lagi	-1,-1 APP_PERFORMANCE 0 0,1
mau ganti nomor ponsel lama ke nomor ponsel baru	1,3 ACCOUNT_MANAGEMENT 0 4,5
aplikasi sangat membantu	-1,-1 FEATURES_PRODUCT 2 1,3
aga ribet	-1,-1 UI_UX_DESIGN 0 1,2
aku suka pakai ponsel aku untuk develop dan debug aplikasi jadi serin nyala mati gara - gara harus buka superbank	-1,-1 FEATURES_PRODUCT 2 1,2
aplikasi bagus	-1,-1 FEATURES_PRODUCT 2 1,2
kenapa tiba - tiba aku mau deposito proses lama	6,7 INTEREST_RETURNS 0 8,9
saya sudah lama pakai ini	-1,-1 FEATURES_PRODUCT 0 2,3
yang bikin kecewa masalah pinjaman	4,5 FEATURES_PRODUCT 0 2,3
sulit memasuki email nyaa	-1,-1 FEATURES_PRODUCT 0 0,1
sudah meminta otp dan muncul kodenya	2,3 AUTH_ACCESS 1 -1,-1
lebih di oftimalkan lagi bisa aku ajukan kartu debit fisik	7,9 FEATURES_PRODUCT 1 -1,-1
ini apa tidak bisa masuk bahkan di alihin ke telpon center	-1,-1 FEATURES_PRODUCT 0 2,4
mengecewakan	-1,-1 FEATURES_PRODUCT 0 0,1
kalau di lancarin pendapatannya dari ngojol di grab iya meningkat kekayaan tabungan di superbank ovo	11,12 FEATURES_PRODUCT 1 -1,-1	14,15 TRANSACTION_TRANSFER 1 -1,-1
buruk kapok jadinya	-1,-1 FEATURES_PRODUCT 0 1,2
